,category,title,price,rating,No of reviews
2206,"['Sports & Outdoors', 'Sports & Fitness', 'Leisure Sports & Game Room', 'Casino Equipment', 'Poker Chips']",versa games outlaw clay poker chips 13g pack 50 choose colors,6.51,4.0,18
2207,"['Tools & Home Improvement', 'Safety & Security', 'Personal Protective Equipment', 'Safety Goggles & Glasses']",gateway safety 3699 colorful starlite gumballs glasses small colors included pack 10 multi color,17.08,4.6,1493
2208,"['Industrial & Scientific', 'Industrial Hardware', ' Hooks']",store fixtures direct extra heavy duty white aluminum drop ceiling hooks one piece grid clips 2 pack,25.450000000000003,4.8,12
2209,"['Home & Kitchen', 'Vases']",wgv cylinder vase bulk 3 w x h clear glass candle holder bud floral container planter terrarium wedding party flowers centerpieces home office decor 12 pieces,64.0,4.5,908
2210,"['Pet Supplies', 'Automatic Feeders']",kent marine 00856 seasquirt feeder,7.95,4.3,381
2211,"['Industrial & Scientific', 'Fasteners', 'Beveled Washers']",feeney cr-3799-pkg ss beveled washer 9 32 id small pack 4,39.81,5.0,1
2212,"['Health & Household', 'Health Care', 'Barrier Rings & Strips']",5011204 hollister new image ceraplus 2-piece cut-to-fit tape border extended wear barrier opening 2-1 4 stoma size 2-3 flange,3.67,4.0,1
2213,"['Industrial & Scientific', 'Lab & Scientific Products', 'Analytical Reagents']",himedia grm1314-1kg sodium thiosulphate pentahydrate extra pure 1 kg,19.4,5.0,1
2214,"['Baby', 'Nursery', 'Furniture', 'Chests & Dressers']",simmons kids slumbertime paloma 4 drawer dresser changing top rustic grey,359.99,3.6,51
2215,"['Arts, Crafts & Sewing', 'Painting, Drawing & Art Supplies', 'Canvas Boards & Panels']",chalkola painting canvases variety pack | 5x7 8x10 9x12 11x14 inch 5 20 acrylic oil art primed 100 % cotton panel boards acid-free artists painters kids,31.95,4.8,30
