,category,frequency,avg_rating,avg_price,avg_num_reviews
267,Oral Care,18,4.377777777777777,27.88527777777778,1060.0555555555557
268,Pulling & Lifting,18,4.611111111111111,87.8875,113.11111111111111
269,Baby Bedding,18,4.411111111111112,26.18527777777778,773.8333333333334
270,Power Plant & Driveline Systems,18,4.388888888888889,18.436111111111114,53.0
271,Industrial Power Tools,18,4.444444444444445,38.52861111111111,127.94444444444444
272,Dried Fruits & Vegetables,18,4.45,30.17694444444444,92.0
273,Computer Components,18,4.405555555555555,118.49055555555555,2427.0
274,Lab Supplies & Consumables,18,4.344444444444445,22.959444444444443,77.66666666666667
275,Football,18,4.4833333333333325,53.45166666666667,344.77777777777777
276,Jackets & Coats,18,4.522222222222222,69.93666666666667,302.94444444444446
277,Health Supplies,18,4.377777777777778,44.47444444444445,1039.2222222222222
278,Scrapbooking,18,4.511111111111111,17.01861111111111,473.72222222222223
279,Body & Frame Parts,18,4.2444444444444445,104.31777777777776,20.88888888888889
280,Tobacco-Related Products,18,4.322222222222222,17.05777777777778,415.27777777777777
281,Swim,17,4.3999999999999995,21.687941176470588,404.47058823529414
282,GPS & Navigation,17,4.41764705882353,108.11235294117648,1260.235294117647
283,Maternity,17,4.152941176470589,24.71794117647059,234.64705882352942
284,Archery,17,4.452941176470588,41.98499999999999,223.1764705882353
285,Paintball,17,3.9764705882352938,33.104705882352945,45.8235294117647
286,Softball,17,4.570588235294117,51.54882352941176,134.8235294117647
287,Makeup,17,4.323529411764706,13.631176470588237,989.6470588235294
288,Wallets,17,4.4941176470588236,32.192352941176466,925.3529411764706
289,Inline & Roller Skating,17,4.5588235294117645,50.99382352941176,204.11764705882354
290,Orchestral Strings Accessories & Parts,17,4.2294117647058815,105.86823529411765,52.88235294117647
291,Face,17,4.329411764705882,20.429117647058824,1627.5294117647059
292,Pre-Kindergarten Toys,17,4.588235294117647,41.88794117647059,1541.1764705882354
293,Indexes & Stamps,17,4.623529411764705,23.38764705882353,243.11764705882354
294,Labels,17,4.623529411764705,23.38764705882353,243.11764705882354
295,Needlework,17,4.435294117647059,13.445882352941176,86.0
296,Welding Tools,17,4.376470588235295,32.54323529411765,89.23529411764706
297,Flatware,17,4.447058823529411,25.980294117647063,94.11764705882354
298,Retail Store Fixtures & Equipment,16,4.7124999999999995,28.93,417.0625
299,Recordkeeping & Money Handling,16,4.65,36.737500000000004,143.1875
300,Car Care,16,4.4624999999999995,22.6559375,759.0
301,Martial Arts,16,4.356249999999999,28.6465625,202.0625
302,Replacement Parts & Accessories,16,4.34375,33.27375,471.3125
303,Outdoor Games & Activities,16,4.1625,24.59,349.625
304,Birds,16,4.33125,26.2203125,323.5
305,Bracelets,16,4.512499999999999,14.385000000000002,444.25
306,Underwear,16,4.375,23.143125,429.625
307,Forms,16,4.65,36.737500000000004,143.1875
308,Kids Bedding,16,4.58125,41.9865625,2100.125
309,Vests,16,4.3500000000000005,26.8896875,97.9375
310,Bearings,16,4.3,29.591875,41.375
311,Cleaning Tools,15,4.493333333333333,24.078666666666667,666.6666666666666
312,Adhesives & Fasteners,15,4.5,20.796666666666667,695.6
313,Womens,15,4.366666666666666,33.636,1255.8666666666666
314,Tape,15,4.5,20.796666666666667,695.6
315,Casino Equipment,15,4.166666666666667,66.27533333333334,301.3333333333333
316,Large Appliance Accessories,15,4.413333333333333,27.246,161.8
317,Welding Equipment & Accessories,15,4.379999999999999,32.985,81.06666666666666
318,Paper & Paper Crafts,15,4.553333333333333,23.697666666666667,561.8
319,Dinnerware,15,4.62,25.85,281.73333333333335
320,Lacrosse,15,3.813333333333333,54.15366666666667,10.066666666666666
321,Dance,15,4.26,17.666999999999998,516.5333333333333
322,Soldering & Brazing Equipment,15,4.386666666666668,38.56933333333333,134.33333333333334
323,Electronic Music & Karaoke,15,4.173333333333333,154.7363333333333,377.2
324,DJ,15,4.173333333333333,154.7363333333333,377.2
325,Games,15,4.579999999999999,29.352,664.6
326,First Aid,15,4.333333333333333,23.534,303.8666666666667
327,Snowboarding,15,4.4,78.28333333333333,312.6
328,Breakers,15,4.506666666666667,29.807000000000002,63.93333333333333
329,Footwear,15,4.379999999999999,80.73933333333335,2099.8
330,Running,15,4.546666666666667,61.86766666666667,949.8
331,Collars,15,4.426666666666667,32.58133333333333,1224.0666666666666
332,Seasonal Décor,15,4.406666666666666,58.42600000000001,548.2
333,Load Centers & Fuses,15,4.506666666666667,29.807000000000002,63.93333333333333
334,Tubes,15,4.48,47.46500000000001,237.66666666666666
335,Accessories & Parts,15,4.333333333333333,41.02866666666667,105.6
336,Grooming,15,4.486666666666667,23.258333333333333,1377.5333333333333
337,Drive Train,15,4.166666666666667,98.28666666666668,20.066666666666666
